ab	🆎
lecturer	🧑‍🏫 👨‍🏫 👩‍🏫
ledger	📒
left	🫲 👈 🤛 🔍 🛅
leftward	🫲 🫷
leftwards	🫲 🫷 🤛
leg	🦿 🦵 🍗
legume	🫘 🫛
lemon	🍋
leo	🦁 ♌
leopard	🐆
letter	💌 📧 📨 📤 📥
letters	🔠 🔡 🔤
lettuce	🥬
liberty	🗽
libra	♎
license	🪪
lie	🤥
life	🛟 🧬
lift	🛗
light	🩵 🪶 🚈 🚨 🚥 🚦
lightning	⚡
like	🩷
limb	🦵
lime	🍋‍🟩
line	🫥
link	🔗
lion	🦁 🦭 ♌
lip	🫦
lips	💋 👄
lipstick	💄
liquid	🫠 🫗
liquor	🥃
lit	🔥
litter	🚮 🚯
littering	🚯
lizard	🦎
llama	🦙
loaf	🍞
lobster	🦞
lock	🔓 🔏 🔐 🔑
locked	🔒 🔏 🔐
locker	🛅
locomotive	🚂
log	🪵
lollipop	🍭
long	🪘
loop	➰ ➿
loose	🤙
lorry	🚛
lotion	🧴
lotus	🧘 🪷
loud	🔊 📢
loudly	😭
loudspeaker	📢
love	❤️ 😍 🥰 😘 😻 💌
low	🔈 🪫 🔅
lowercase	🔡
lowered	📪 📭
luck	🤞 🧧
luggage	🧳 🛅
lumber	🪵 🪚
lungs	🫁
lupine	🪻
lying	🤥
machine	🎰 📠
mad	😡 😠 💢
mage	🧙
maggot	🪰
magic	🪄
magical	🧝
magnet	🧲
magnetic	🧭 🧲
magnifying	🔍 🔎
mahjong	🀄
mail	💌 📧 📨 📩 📤 📥
mailbox	📫 📪 📬 📭 📮
maize	🌽
makeup	💄
malaria	🦟
male	🐏
mammal	🫎 🫏
mammoth	🦣
man	👨 👴 👨‍🎓 👨‍🏫 👨‍🌾 👨‍🍳
manager	🧑‍💼 👨‍💼 👩‍💼
mango	🥭
manicure	💅
mantilla	🧕
manual	🧑‍🦽 👨‍🦽 👩‍🦽 🦽
mao	👲
map	🗾
maple	🍁
maracas	🪇
marathon	🏃
marine	🪼
mark	💋 📑 🔖 🔛 ❓ ❔
marker	📑
marsupial	🐨 🦘
martial	🥋
mary	🪬
mask	😷 🤿 🎭
massage	💆
mate	🧉
math	➕ ➖ ➗ 🟰
mauritius	🦤
maze	🌽
me	🤙
meat	🍖 🥩 🥓
meatball	🧆
mechanic	🧑‍🔧 👨‍🔧 👩‍🔧 🧰
mechanical	🦾 🦿
medal	🏅 🥇 🥈 🥉
medical	😷 🩻
medicine	🏥 💉 🩸 💊 🩺
meditation	🧘
medium	🔉 ◾ ◽
meeting	🤝
megaphone	📣
meh	😐 😑 😕 🫤
melon	🍈
melt	🫠
melted	🫕
melting	🫠
memo	📝
men	👬 🚹
menorah	🕎
menstruation	🩸
mercy	🥺
meridians	🌐
mermaid	🧜
merman	🧜
merperson	🧜
merwoman	🧜
metal	🪙
metro	🚇
mexican	🌮 🌯 🫔
mic	🎤
microbe	🦠
microphone	🎤
microscope	🔬
middle	🖕
military	🪖
milk	🍼 🥛 🧋
milky	🌌
mind	🤯
minibus	🚐
minidisk	💽
minus	➖
miriam	🪬
mirror	🪩 🪞
moai	🗿
mobile	📱 📲 📵 📶 📳 📴
mobility	🩼
mode	📳
moisturizer	🧴
molusc	🦑
monarch	🫅
money	💰 🤑 🫰 🧧 🪙 💴
moneybag	💰
monkey	🙈 🙉 🙊 🐵 🐒
monocle	🧐
monorail	🚝
monster	💀 💩 👹 👺 👻 👾
moon	🥮 🌑 🌒 🌓 🌔 🌕
moose	🫎
morning	🌄 🌅
mortar	🧱
mosque	🕌
mosquito	🦟
mother	🤶
motor	🛵
motorized	🧑‍🦼 👨‍🦼 👩‍🦼 🦼
mount	🗻
mountain	🚵 🌋 🗻 🌄 🚞 🚠
mountains	🌄
